States_Union Territories,2023-POP
Andaman & Nicobar Islands,403000
Andhra Pradesh,53156000
Arunachal Pradesh,1562000
Assam,35713000
Bihar,126756000
Chandigarh,1231000
Chhattisgarh,30180000
Dadra & Nagar Haveli,1263000
Delhi,21359000
Goa,1575000
Gujarat,71507000
Haryana,30209000
Himachal Pradesh,7468000
Jammu & Kashmir,13603000
Jharkhand,39466000
Karnataka,67692000
Kerala,35776000
Lakshadweep,69000
Madhya Pradesh,86579000
Maharashtra,126385000
Manipur,3223000
Meghalaya,3349000
Mizoram,1238000
Nagaland,2233000
Odisha,46276000
Puducherry,1646000
Punjab,30730000
Rajasthan,81025000
Sikkim,689000
Tamil Nadu,76860000
Tripura,4147000
Uttar Pradesh,235687000
Uttarakhand,11637000
West Bengal,99084000
Telangana,38090000
